ROI_number,HO_label
218,Right Lateral Occipital Cortex; inferior division
219,Left Lateral Occipital Cortex; superior division
220,Right Postcentral Gyrus
221,Left Frontal Orbital Cortex
222,Right Middle Frontal Gyrus
223,Right Cingulate Gyrus; anterior division
224,Right Insular Cortex
225,Right Occipital Fusiform Gyrus
226,Left Paracingulate Gyrus
227,None
228,Right Middle Temporal Gyrus; anterior division
229,Right Lateral Occipital Cortex; superior division
230,None
231,Left Occipital Fusiform Gyrus
232,Right Frontal Pole
233,Left Thalamus
234,Left Lateral Occipital Cortex; inferior division
235,Left Frontal Pole
236,Right Temporal Pole
237,Left Angular Gyrus
238,Left Amygdala
239,Right Cingulate Gyrus; anterior division
240,Right Precuneous Cortex
241,Right Superior Frontal Gyrus
242,None
243,Left Middle Temporal Gyrus; anterior division
244,Right Precentral Gyrus
245,Right Thalamus
246,Right Insular Cortex
247,None
248,Right Precuneous Cortex
249,Left Frontal Pole
250,Right Postcentral Gyrus
251,Left Middle Temporal Gyrus; temporooccipital part
252,Right Lateral Occipital Cortex; superior division
253,None
254,Left Frontal Pole
255,Right Superior Frontal Gyrus
256,Right Cingulate Gyrus; posterior division
257,Left Postcentral Gyrus
258,None
259,Right Lateral Occipital Cortex; inferior division
260,Left Frontal Orbital Cortex
261,Left Supramarginal Gyrus; anterior division
262,Left Parahippocampal Gyrus; posterior division
263,Left Lateral Occipital Cortex; superior division
264,Left Frontal Pole
265,Right Middle Frontal Gyrus
266,Left Middle Frontal Gyrus
267,Right Parahippocampal Gyrus; posterior division
268,Left Thalamus
269,Right Cuneal Cortex
270,Right Superior Temporal Gyrus; posterior division
271,Left Temporal Pole
272,Right Supramarginal Gyrus; posterior division
273,Right Frontal Pole
274,Left Central Opercular Cortex
275,Right Precuneous Cortex
276,None
277,Right Inferior Temporal Gyrus; anterior division
278,Left Temporal Occipital Fusiform Cortex
279,Left Middle Frontal Gyrus
280,Left Middle Temporal Gyrus; posterior division
281,Right Precentral Gyrus
282,Left Lingual Gyrus
283,Left Paracingulate Gyrus
284,Right Hippocampus
285,Right Middle Frontal Gyrus
286,Right Lingual Gyrus
287,Right Lateral Occipital Cortex; superior division
288,Right Temporal Pole
289,Right Frontal Pole
290,Right Middle Temporal Gyrus; temporooccipital part
291,Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)
292,Left Putamen
293,Left Precentral Gyrus
294,Right Lateral Occipital Cortex; superior division
295,None
296,Left Temporal Fusiform Cortex; posterior division
297,Left Frontal Pole
298,Left Temporal Pole
299,Right Hippocampus
300,None
301,None
302,Right Parietal Operculum Cortex
303,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)
304,Right Precentral Gyrus
305,Left Central Opercular Cortex
306,Right Middle Frontal Gyrus
307,Right Insular Cortex
308,Right Lateral Occipital Cortex; superior division
309,Right Parahippocampal Gyrus; posterior division
310,None
311,Unknown
312,Left Inferior Temporal Gyrus; anterior division
313,Right Temporal Pole
314,Left Supramarginal Gyrus; posterior division
315,None
316,Left Superior Frontal Gyrus
317,Right Central Opercular Cortex
318,Left Occipital Fusiform Gyrus
319,Left Middle Temporal Gyrus; temporooccipital part
320,Right Frontal Pole
321,None
322,Right Temporal Occipital Fusiform Cortex
323,Right Superior Parietal Lobule
324,Right Occipital Pole
325,Right Paracingulate Gyrus
326,Left Lateral Occipital Cortex; superior division
327,Right Precuneous Cortex
328,Right Amygdala
329,Right Superior Temporal Gyrus; anterior division
330,Right Temporal Fusiform Cortex; posterior division
331,Left Heschl's Gyrus (includes H1 and H2)
332,Left Lingual Gyrus
333,Right Hippocampus
334,Left Superior Frontal Gyrus
335,None
336,Right Planum Polare
337,Left Hippocampus
338,Right Frontal Orbital Cortex
339,Left Putamen
340,Left Occipital Pole
341,Right Angular Gyrus
342,Right Precuneous Cortex
343,Left Temporal Pole
344,Right Postcentral Gyrus
345,Left Precentral Gyrus
346,Left Inferior Temporal Gyrus; temporooccipital part
347,Right Frontal Operculum Cortex
348,Right Lingual Gyrus
349,None
350,None
351,Left Lingual Gyrus
352,Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)
353,Right Occipital Pole
354,Right Middle Frontal Gyrus
355,Right Precuneous Cortex
356,Right Angular Gyrus
357,None
358,Unknown
359,Right Postcentral Gyrus
360,Left Superior Parietal Lobule
361,Right Temporal Occipital Fusiform Cortex
362,Left Occipital Pole
363,Left Planum Temporale
364,Right Middle Temporal Gyrus; temporooccipital part
365,Right Caudate
366,Left Temporal Pole
367,Right Lateral Occipital Cortex; inferior division
368,Left Cingulate Gyrus; posterior division
369,Unknown
370,Left Precentral Gyrus
371,Right Paracingulate Gyrus
372,Right Lingual Gyrus
373,Left Caudate
374,Left Middle Temporal Gyrus; posterior division
375,Right Putamen
376,Right Lateral Occipital Cortex; superior division
377,None
378,Right Lingual Gyrus
379,Left Frontal Pole
380,Right Precentral Gyrus
381,Left Lateral Occipital Cortex; superior division
382,Unknown
383,Right Superior Temporal Gyrus; posterior division
384,None
385,Left Frontal Pole
386,Right Frontal Pole
387,Right Frontal Pole
388,Left Temporal Pole
389,Right Postcentral Gyrus
390,Unknown
391,Right Lingual Gyrus
392,Left Frontal Pole
